LOCATION,TIME,Value
AUS,2015,4381.229
AUS,2016,4565.873
AUS,2017,4790.513
AUS,2018,5005.316
AUT,2015,4944.771
AUT,2016,5139.924
AUT,2017,5270.235
AUT,2018,5395.106
BEL,2015,4526.597
BEL,2016,4666.226
BEL,2017,4832.265
BEL,2018,4943.537
CAN,2015,4550.831
CAN,2016,4698.016
CAN,2017,4811.79
CAN,2018,4974.33
CZE,2015,2545.511
CZE,2016,2627.698
CZE,2017,2850.406
CZE,2018,3057.615
DNK,2015,4674.496
DNK,2016,4774.269
DNK,2017,5024.522
DNK,2018,5298.821
FIN,2015,3990.642
FIN,2016,4023.443
FIN,2017,4126.719
FIN,2018,4228.211
FRA,2015,4675.804
FRA,2016,4844.017
FRA,2017,4930.776
FRA,2018,4964.71
DEU,2015,5291.281
DEU,2016,5550.175
DEU,2017,5847.676
DEU,2018,5986.43
GRC,2015,2100.338
GRC,2016,2198.044
GRC,2017,2207.064
GRC,2018,2238.171
HUN,2015,1891.727
HUN,2016,1965.018
HUN,2017,1996.449
HUN,2018,2046.777
ISL,2015,3735.245
ISL,2016,3916.333
ISL,2017,4153.873
ISL,2018,4349.094
IRL,2015,4301.85
IRL,2016,4470.748
IRL,2017,4631.116
IRL,2018,4915.493
ITA,2015,3129.27
ITA,2016,3264.368
ITA,2017,3376.315
ITA,2018,3427.807
JPN,2015,4516.862
JPN,2016,4512.845
JPN,2017,4629.559
JPN,2018,4766.071
KOR,2015,2488.016
KOR,2016,2678.23
KOR,2017,2870.253
KOR,2018,3191.554
LUX,2015,4820.829
LUX,2016,4873.862
LUX,2017,4940.672
LUX,2018,5070.172
MEX,2015,1075.433
MEX,2016,1065.875
MEX,2017,1104.972
MEX,2018,1137.964
NLD,2015,4928.366
NLD,2016,5018.406
NLD,2017,5155.043
NLD,2018,5288.436
NZL,2015,3513.375
NZL,2016,3662.218
NZL,2017,3742.228
NZL,2018,3922.635
NOR,2015,5728.329
NOR,2016,5803.702
NOR,2017,6063.613
NOR,2018,6186.92
POL,2015,1802.995
POL,2016,1915.052
POL,2017,2047.73
POL,2018,2056.358
PRT,2015,2540.072
PRT,2016,2667.691
PRT,2017,2758.526
PRT,2018,2861.383
SVK,2015,2059.654
SVK,2016,2187.367
SVK,2017,2187.762
SVK,2018,2290.33
ESP,2015,3024.647
ESP,2016,3105.646
ESP,2017,3224.091
ESP,2018,3322.619
SWE,2015,5027.333
SWE,2016,5048.876
SWE,2017,5264.4
SWE,2018,5447.109
CHE,2015,6760.507
CHE,2016,6942.187
CHE,2017,7146.838
CHE,2018,7316.605
TUR,2015,1040.373
TUR,2016,1126.755
TUR,2017,1185.602
TUR,2018,1226.585
GBR,2015,3703.081
GBR,2016,3833.251
GBR,2017,3942.903
GBR,2018,4069.569
USA,2015,9505.074
USA,2016,9903.651
USA,2017,10206.51
USA,2018,10586.084
CHL,2015,1837.686
CHL,2016,1897.797
CHL,2017,2095.28
CHL,2018,2181.726
EST,2015,1868.235
EST,2016,2012.957
EST,2017,2120.49
EST,2018,2231.406
ISR,2015,2309.13
ISR,2016,2551.4
ISR,2017,2666.404
ISR,2018,2779.656
SVN,2015,2574.155
SVN,2016,2682.92
SVN,2017,2801.233
SVN,2018,2859.446
BRA,2015,1279.359
BRA,2016,1281.617
CHN,2015,640.583
CHN,2016,688.003
COL,2015,951.651
COL,2016,932.062
COL,2017,960.169
IND,2015,194.207
IND,2016,208.772
IDN,2015,278.063
IDN,2016,300.546
LVA,2015,1405.023
LVA,2016,1582.955
LVA,2017,1649.277
LVA,2018,1748.537
LTU,2015,1917.586
LTU,2016,2057.825
LTU,2017,2182.469
LTU,2018,2415.823
RUS,2015,1424.522
RUS,2016,1419.473
RUS,2017,1513.667
ZAF,2015,1075.208
ZAF,2016,1071.555
OAVG,2015,3588.509806
OAVG,2016,3717.656111
OAVG,2017,3856.543722
OAVG,2018,3994.122389
CRI,2015,1254.069
CRI,2016,1284.833
BGR,2015,1576.52
BGR,2016,1713.23
BGR,2017,1782.754
HRV,2015,1506.211
HRV,2016,1638.754
HRV,2017,1715.53
CYP,2015,2066.809
CYP,2016,2187.812
CYP,2017,2276.756
MLT,2015,3216.339
MLT,2016,3398.83
MLT,2017,3714.601
ROU,2015,1087.612
ROU,2016,1229.375
ROU,2017,1399.628
