iso_code,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
ABW,Aruba,13-03-20,18.733,18.733,0,0,0,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,20-03-20,37.465,18.733,0,0,30.56,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,24-03-20,112.395,74.93,0,0,41.67,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,25-03-20,159.227,46.831,0,0,41.67,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,26-03-20,177.959,18.733,0,0,41.67,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,27-03-20,262.256,84.296,0,0,41.67,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,28-03-20,262.256,0,0,0,41.67,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,29-03-20,262.256,0,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,30-03-20,468.314,206.058,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,01-04-20,515.145,46.831,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,02-04-20,515.145,0,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,03-04-20,561.977,46.831,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,04-04-20,580.709,18.733,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,05-04-20,599.442,18.733,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,06-04-20,599.442,0,0,0,82.41,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
